,title,ingredients,instructions,picture_link,nutrition_text
10,Make-Ahead Air Fryer Breakfast Burritos,"['1 pound mild country bulk sausage', '12 large eggs, beaten', 'salt and ground black pepper to taste', '1 cup shredded Cheddar cheese', '15 (8 inch) flour tortillas']","['Crumble sausage into a large skillet over medium-high heat. Cook until no longer pink, about 10 minutes. Transfer to a large bowl using a slotted spoon.', 'Reduce heat to medium. Pour beaten eggs into the skillet and season with salt and pepper. Cook for 3 minutes. Stir and cook for 2 minutes more. Turn heat off. Stir one last time, breaking up larger pieces. Pour into the bowl with the sausage, add cheese, and stir to combine.', 'Lay out 1 tortilla on a clean work surface. Place 1/4 cup of the sausage-egg mixture on the bottom third of the tortilla, closest to you. Fold the end of the tortilla over the mixture. Fold in both sides of the tortilla over the filling, making an envelope shape. Tuck, roll, and place on a baking sheet seam side down. Repeat with remaining tortillas and filling.', 'Place baking sheet into the freezer for 2 hours. Transfer burritos to a covered freezer-safe container until ready to serve.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcf-images.us-east-1.prod.boltdns.net%2Fv1%2Fstatic%2F1033249144001%2Fe38677e6-9fad-44df-8bc6-2e7a842d4825%2Ff0a428ab-69b2-4c4a-8d46-da935605d5ae%2F1280x720%2Fmatch%2Fimage.jpg,"324 calories; protein 15.3g; carbohydrates 27.9g; fat 16.5g; cholesterol 174mg; sodium 607mg.
                                Full Nutrition"
11,Creamy Israeli-Style Hummus,"['1 (15 ounce) can chickpeas', '2 tablespoons olive oil', '1 tablespoon peanut butter', '2 tablespoons lemon juice', '1 teaspoon sesame oil', '1 teaspoon ground cumin', '1 teaspoon onion powder', '½ teaspoon salt', '1 clove garlic, minced', '1 tablespoon sliced green onions, or to taste']","['Combine 2 tablespoons chickpea liquid and 1 cup chickpeas in a bowl for hummus. Reserve remaining chickpeas and liquid for another use.', 'Combine olive oil, peanut butter, lemon juice, sesame oil, cumin, onion powder, and salt in a blender. Blend until smooth, about 2 minutes. Pour in chickpeas and liquid and blend until creamy, 2 to 5 minutes.', 'Transfer to an airtight container and chill in the refrigerator for at least 2 hours before serving. Garnish with green onions to serve.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8242686.jpg,"92 calories; protein 2.4g; carbohydrates 9.1g; fat 5.5g; sodium 260.2mg.
                                Full Nutrition"
12,Real Poutine,"['1 quart vegetable oil for frying', '1 (10.25 ounce) can beef gravy', '5 medium potatoes, cut into fries', '2 cups cheese curds']","['Heat oil in a deep fryer or deep heavy skillet to 365 degrees F (185 degrees C). While the oil is heating, you can begin to warm your gravy.', 'Place the fries into the hot oil, and cook until light brown, about 5 minutes. Make the fries in batches if necessary to allow them room to move a little in the oil. Remove to a paper towel lined plate to drain.', 'Place the fries on a serving platter, and sprinkle the cheese over them. Ladle gravy over the fries and cheese, and serve immediately.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F153593.jpg,"708 calories; protein 23.8g; carbohydrates 51g; fat 46.3g; cholesterol 78.2mg; sodium 772.9mg.
                                Full Nutrition"
13,Basic Baked Spaghetti,"['¾ pound lean ground beef', '1 (16 ounce) jar spaghetti sauce', '1 pound spaghetti', '1 cup shredded mild Cheddar cheese']","['Preheat oven to 350 degrees F (175 degrees C). In large skillet, cook hamburger until brown.  Mix spaghetti sauce into skillet.  Reduce heat and simmer.', 'Meanwhile, bring a large pot of lightly salted water to a boil. Mix in pasta and cook for 8 to 10 minutes or until al dente; drain.', 'Mix together spaghetti and meat mixture, pour into 9x13 pan.  Top with cheese and bake for 30 minutes, or until heated through and cheese is bubbly.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1517443.jpg,"546 calories; protein 27.7g; carbohydrates 67.1g; fat 17.7g; cholesterol 62.7mg; sodium 487.4mg.
                                Full Nutrition"
14,Eggplant Caponata (Sicilian Version),"['1  eggplant, peeled and cut into 1/2-inch cubes', 'salt to taste', '¼ cup olive oil, divided', '1 cup finely chopped celery', '1  onion, finely chopped', '1 clove garlic, minced', '1\u2009½ cups canned plum tomatoes, drained and coarsely chopped', '12  green olives, pitted and coarsely chopped', '1\u2009½ tablespoons drained capers', '1 tablespoon tomato paste', '1 teaspoon minced oregano', '2 tablespoons red wine vinegar', '2 teaspoons white sugar', '1 teaspoon salt', 'ground black pepper to taste', '2 teaspoons minced fresh parsley, or to taste']","['Toss eggplant with salt and place in a colander set over a bowl. Let sit, about 30 minutes. Rinse and pat dry.', 'Heat 2 tablespoons olive oil in a large skillet over medium heat. Add celery; cook, stirring often, until softened, about 4 minutes. Add onion and garlic; cook and stir until onion is soft and lightly golden, about 5 minutes. Transfer mixture to a bowl using a slotted spoon.', 'Heat remaining 2 tablespoons olive oil in the skillet. Add eggplant and cook, stirring constantly, until lightly browned, 5 to 7 minutes. Stir in celery mixture, tomatoes, olives, capers, tomato paste, and oregano. Bring to a boil; reduce heat to low and simmer uncovered until caponata is thickened, about 15 minutes.', 'Season caponata with vinegar, sugar, salt, and black pepper. Transfer to a serving bowl and garnish with parsley.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5695752.jpg,"54 calories; protein 0.9g; carbohydrates 4.9g; fat 3.9g; sodium 297mg.
                                Full Nutrition"
15,Chicken Tetrazzini for a Crowd,"['1 pound spaghetti, broken into pieces', '3 (10.75 ounce) cans  condensed cream of mushroom soup', '12 ounces shredded Cheddar cheese', '6 cups shredded boiled chicken breast meat', '1 pound sauteed mushrooms', '1 (4 ounce) jar sliced pimento peppers, drained', '2 cups reserved chicken broth']","['Preheat oven to 350 degrees F (175 degrees C). Bring a large pot of salted water to a boil. Add uncooked spaghetti (broken into thirds) to the pot and cook for 8 to 10 minutes or until al dente. Drain and set aside.', ""In a large saucepan, heat soup over low heat. Add shredded cheese (reserve some for topping) and stir together. Then add the cooked shredded chicken, mushrooms, pimento peppers and cooked spaghetti and stir all together. Add enough of the reserved broth to make it 'sloppy' and mix all together."", 'Pour mixture into a 9x13 inch baking dish. Sprinkle reserved shredded cheese on top and bake in the preheated oven for 25 to 35 minutes or until bubbly.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7106963.jpg,"279 calories; protein 20.7g; carbohydrates 21.4g; fat 12g; cholesterol 49.4mg; sodium 506.4mg.
                                Full Nutrition"
16,Mrs. Fields Cookie Recipe II,"['2 cups butter, softened', '2 cups white sugar', '2 cups packed brown sugar', '2 teaspoons vanilla extract', '1 teaspoon salt', '2 teaspoons baking powder', '2 teaspoons baking soda', '4  eggs', '4 cups all-purpose flour', '5 cups rolled oats', '4 cups semisweet chocolate chips', '8 ounces finely grated chocolate bar', '3 cups chopped walnuts']","['Preheat oven to 350 degrees F (180 degrees C).', 'Cream together  butter or margarine, white sugar, and brown sugar.  Add  eggs and  vanilla.', 'Mix together in a separate bowl: salt, baking powder, baking soda, flour and  oatmeal (put small amounts of oatmeal in blender until it turns to powder. Measure out 5 cups of oatmeal and only ""powderize"" that, NOT 5 cups ""powderized"" oatmeal).', 'Mix all of the above.', 'Add: chocolate chips,  grated chocolate bar, and chopped nuts (any kind).', 'Bake on greased cookie sheet (make golf ball sized balls) and bake about two inches apart. Bake  for 8 -10 minutes. Do not overbake.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F43075.jpg,"301 calories; protein 4.1g; carbohydrates 37.6g; fat 16.4g; cholesterol 31.7mg; sodium 162.3mg.
                                Full Nutrition"
17,Strawberry Angel Food Dessert,"['1 (10 inch) angel food cake', '2 (8 ounce) packages cream cheese, softened', '1 cup white sugar', '1 (8 ounce) container frozen whipped topping, thawed', '1 quart fresh strawberries, sliced', '1 (18 ounce) jar strawberry glaze']","['Crumble the cake into a 9x13 inch dish.', 'Beat the cream cheese and sugar in a medium bowl until light and fluffy. Fold in whipped topping. Mash the cake down with your hands and spread the cream cheese mixture over the cake.', 'In a bowl, combine strawberries and glaze until strawberries are evenly coated. Spread over cream cheese layer. Chill until serving.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1129209.jpg,"261 calories; protein 3.2g; carbohydrates 36.3g; fat 11g; cholesterol 27.4mg; sodium 241.8mg.
                                Full Nutrition"
18,Enoki Mushrooms,"['8 ounces enoki mushrooms', '1 teaspoon sesame oil', '1 large clove garlic, finely chopped', '1 teaspoon low-sodium soy sauce (such as Bragg®)', '½ teaspoon finely grated fresh ginger']","['Cut the bottom 2 inches off the mushrooms and discard. Separate the mushroom strands gently.', 'Heat oil in a medium-sized nonstick skillet over medium heat. Add garlic and cook until just fragrant, about 1 minute. Add mushrooms and stir-fry until they begin to wilt, about 2 minutes. Add soy sauce and ginger; toss to coat. Cook 1 to 2 minutes more.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7237670.jpg,"152 calories; protein 6.3g; carbohydrates 19.5g; fat 5.6g; sodium 184.8mg.
                                Full Nutrition"
19,Awesome Pasta Salad,"['1 (16 ounce) package fusilli (spiral) pasta', '3 cups cherry tomatoes, halved', '½ pound provolone cheese, cubed', '½ pound salami, cubed', '¼ pound sliced pepperoni, cut in half', '1 large green bell pepper, cut into 1 inch pieces', '1 (10 ounce) can black olives, drained', '1 (4 ounce) jar pimentos, drained', '1 (8 ounce) bottle Italian salad dressing']","['Bring a large pot of lightly salted water to a boil. Add pasta, and cook for 8 to 10 minutes or until al dente. Drain, and rinse with cold water.', 'In a large bowl, combine pasta with tomatoes, cheese, salami, pepperoni, green pepper, olives, and pimentos. Pour in salad dressing, and toss to coat.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1282511.jpg,"310 calories; protein 12.9g; carbohydrates 25.9g; fat 17.7g; cholesterol 31.4mg; sodium 913.2mg.
                                Full Nutrition"
20,Chess Pie,"['½ cup butter', '2 cups white sugar', '1 teaspoon vanilla extract', '4  eggs', '1 tablespoon cornmeal', '¼ cup evaporated milk', '1 tablespoon distilled white vinegar', '1 (9 inch) unbaked pie shell']","['Preheat the oven to 425 degrees F (220 degrees C).', 'In a large bowl, mix the butter, sugar and vanilla together. Mix in the eggs, then stir in the cornmeal, evaporated milk and vinegar until smooth.', 'Bake for 10 minutes in the preheated oven, then reduce heat to 300 degrees F (150 degrees C) for 40 minutes. Let cool. Cut and top servings with whipped cream. You will think you have died and gone to heaven.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4589509.jpg,"460 calories; protein 5.3g; carbohydrates 62g; fat 22.1g; cholesterol 125.8mg; sodium 242.3mg.
                                Full Nutrition"
